"code" "movie_title" "point"
"508" "17260" "당신이 잠든 사이에" "8.95"
"509" "39524" "스윙걸즈" "8.95"
"510" "60530" "미스 리틀 선샤인" "8.95"
"511" "10330" "스카페이스" "8.95"
"512" "33422" "존 큐" "8.95"
"513" "31271" "미이라 2" "8.94"
"514" "31524" "파인딩 포레스터" "8.94"
"515" "96968" "극장판 나루토 질풍전: 로드 투 닌자" "8.94"
"516" "46985" "그해 여름" "8.94"
"517" "38738" "본 슈프리머시" "8.94"
"518" "107748" "극장판 슈타인즈 게이트: 부하영역의 데자뷰" "8.94"
"519" "50598" "A-특공대" "8.94"
"520" "146944" "극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드" "8.94"
"521" "128212" "쿼바디스" "8.93"
"522" "10532" "불가사리" "8.93"
"523" "130989" "룸" "8.93"
"524" "45298" "더 리더: 책 읽어주는 남자" "8.93"
"525" "14397" "드라큐라" "8.93"
"526" "82323" "엘리트 스쿼드 2" "8.93"
"527" "115534" "5일의 마중" "8.93"
"528" "51049" "여행자" "8.93"
"529" "10238" "레인 맨" "8.93"
"530" "72393" "꼬마 니콜라" "8.93"
"531" "57278" "가부와 메이 이야기" "8.93"
"532" "76048" "퍼펙트 게임" "8.93"
"533" "76020" "드래곤 길들이기 2" "8.92"
"534" "140803" "하이큐!! 끝과 시작" "8.92"
"535" "143456" "브리짓 존스의 베이비" "8.92"
"536" "90589" "엣지 오브 투모로우" "8.92"
"537" "36590" "시카고" "8.92"
"538" "64080" "다만, 널 사랑하고 있어" "8.92"
"539" "92038" "더 데이" "8.92"
"540" "87571" "부러진 화살" "8.92"
"541" "38907" "투 브라더스" "8.92"
"542" "146488" "태양 아래" "8.92"
"543" "10262" "델마와 루이스" "8.92"
"544" "51787" "대니쉬 걸" "8.92"
"545" "98276" "굿모닝 맨하탄" "8.92"
"546" "39405" "웰컴 투 동막골" "8.92"
"547" "40133" "다이 하드 4.0" "8.91"
"548" "10242" "더티 댄싱" "8.91"
"549" "70562" "시" "8.91"
"550" "73018" "내니 맥피 2 - 유모와 마법소동" "8.91"
"551" "27260" "파이트 클럽" "8.91"
"552" "44728" "오만과 편견" "8.91"
"553" "18682" "스타쉽 트루퍼스" "8.91"
"554" "97652" "뜨거운 안녕" "8.91"
"555" "36344" "지구를 지켜라!" "8.91"
"556" "43678" "캐리비안의 해적 - 망자의 함" "8.91"
"557" "10086" "미션" "8.91"
"558" "129406" "미쓰 와이프" "8.91"
"559" "96327" "캡틴 아메리카: 윈터 솔져" "8.91"
"560" "17773" "비포 선라이즈" "8.90"
"561" "16792" "흐르는 강물처럼" "8.90"
"562" "18597" "비트" "8.90"
"563" "82239" "디태치먼트" "8.90"
"564" "150117" "극장판 유희왕 더 다크 사이드 오브 디멘션즈" "8.90"
"565" "96054" "슈퍼노바 지구 탈출기" "8.90"
"566" "18285" "라빠르망" "8.90"
"567" "17255" "매디슨 카운티의 다리" "8.90"
"568" "38274" "더티 댄싱 - 하바나 나이트" "8.90"
"569" "64354" "행복을 찾아서" "8.90"
"570" "49007" "원피스 극장판: 스트롱 월드" "8.90"
"571" "18875" "LA 컨피덴셜" "8.90"
"572" "17967" "트레인스포팅" "8.90"
"573" "73075" "노다메 칸타빌레 최종악장" "8.89"
"574" "127321" "우먼 인 골드" "8.89"
"575" "70637" "앨빈과 슈퍼밴드 2" "8.89"
"576" "115240" "10분" "8.89"
"577" "62556" "록키 발보아" "8.89"
"578" "88495" "프렌즈 : 몬스터 섬의 비밀 3D" "8.89"
"579" "45719" "쉬즈 더 맨" "8.89"
"580" "14584" "팀 버튼의 크리스마스 악몽" "8.89"
"581" "83268" "댄싱퀸" "8.88"
"582" "36727" "선생 김봉두" "8.88"
"583" "41585" "마당을 나온 암탉" "8.88"
"584" "91031" "신세계" "8.88"
"585" "26544" "스왈로우테일 버터플라이" "8.88"
"586" "31456" "초콜릿" "8.88"
"587" "37439" "배트맨 비긴즈" "8.88"
"588" "76627" "우리는 동물원을 샀다" "8.88"
"589" "44885" "아이언맨" "8.88"
"590" "35626" "8 마일" "8.88"
"591" "32593" "크레이지 뷰티풀" "8.88"
"592" "10250" "해리가 샐리를 만났을 때" "8.88"
"593" "72631" "두레소리" "8.87"
"594" "80774" "청원" "8.87"
